code,name,industry,revenue_growth_pct,ni_growth_pct,roe_pct,候補ルール
92110,株式会社エフ・コード,サービス業,132.67,73.06,20.42,フェーズ1(現行)
247A0,Ａｉロボティクス株式会社,化学,106.67,55.86,56.73,フェーズ1(現行)
73180,セレンディップ・ホールディングス株式会社,サービス業,103.64,98.62,32.92,フェーズ1(現行)
276A0,ククレブ・アドバイザーズ株式会社,不動産業,101.24,54.5,29.05,フェーズ1(現行)
34790,株式会社ＴＫＰ,不動産業,93.14,224.44,23.92,フェーズ1(現行)
60720,地盤ネットホールディングス株式会社,サービス業,70.06,165.42,14.99,フェーズ1(現行)
76850,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,卸売業,67.76,118.56,31.07,フェーズ1(現行)
446A0,株式会社ノースサンド,サービス業,59.5,104.96,41.52,フェーズ1(現行)
421A0,株式会社ムービン・ストラテジック・キャリア,サービス業,59.12,100.33,41.16,フェーズ1(現行)
44150,株式会社ブロードエンタープライズ,情報・通信業,57.83,20.52,29.42,フェーズ1(現行)
556A0,犬猫生活株式会社,小売業,54.89,138.91,46.35,フェーズ1(現行)
40580,トヨクモ株式会社,情報・通信業,54.42,29.01,30.49,フェーズ1(現行)
58340,ＳＢＩリーシングサービス株式会社,その他金融業,53.3,37.9,22.44,フェーズ1(現行)
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,52.89,53.41,37.17,フェーズ1(現行)
33590,株式会社ｃｏｔｔａ,卸売業,52.77,28.07,10.11,フェーズ1(現行)
55370,株式会社ＡｌｂａＬｉｎｋ,不動産業,50.57,159.55,67.09,フェーズ1(現行)
70500,株式会社フロンティアインターナショナル,サービス業,47.28,42.12,12.85,フェーズ1(現行)
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,サービス業,43.5,129.37,14.28,フェーズ1(現行)
36920,株式会社ＦＦＲＩセキュリティ,情報・通信業,43.08,60.1,33.5,フェーズ1(現行)
70890,フォースタートアップス株式会社,サービス業,42.64,130.99,29.02,フェーズ1(現行)
40190,株式会社スタメン,情報・通信業,41.79,51.55,14.44,フェーズ1(現行)
73780,株式会社アシロ,サービス業,41.61,620.06,37.83,フェーズ1(現行)
43770,株式会社ワンキャリア,情報・通信業,40.28,62.51,31.39,フェーズ1(現行)
95540,株式会社ＡＶｉＣ,サービス業,38.56,74.05,27.44,フェーズ1(現行)
51360,ｔｒｉｐｌａ株式会社,情報・通信業,37.82,139.66,35.86,フェーズ1(現行)
78060,株式会社ＭＴＧ,その他製品,37.49,248.14,16.61,フェーズ1(現行)
558A0,株式会社ＳＱＵＥＥＺＥ,サービス業,36.66,71.2,40.52,フェーズ1(現行)
205A0,株式会社ロゴスホールディングス,建設業,36.49,300.13,21.46,フェーズ1(現行)
319A0,株式会社技術承継機構,サービス業,35.38,243.06,46.79,フェーズ1(現行)
55910,株式会社ＡＶＩＬＥＮ,情報・通信業,34.72,50.25,27.25,フェーズ1(現行)
92420,メディア総研株式会社,サービス業,33.03,107.28,15.4,フェーズ1(現行)
92710,株式会社和心,小売業,32.88,77.45,77.0,フェーズ1(現行)
70470,ポート株式会社,情報・通信業,32.5,43.99,28.51,フェーズ1(現行)
51370,株式会社スマートドライブ,情報・通信業,32.46,70.36,47.18,フェーズ1(現行)
36250,テックファームホールディングス株式会社,情報・通信業,32.2,221.55,20.08,フェーズ1(現行)
50380,株式会社ｅＷｅＬＬ,情報・通信業,31.91,34.64,37.63,フェーズ1(現行)
581A0,ＧＯ株式会社,情報・通信業,31.85,341.9,38.94,フェーズ1(現行)
44930,株式会社サイバーセキュリティクラウド,情報・通信業,31.8,42.91,26.83,フェーズ1(現行)
50340,株式会社ｕｎｅｒｒｙ,情報・通信業,31.44,386.13,18.2,フェーズ1(現行)
338A0,株式会社ＺｅｎｍｕＴｅｃｈ,情報・通信業,31.28,98.59,29.62,フェーズ1(現行)
60310,ＺＥＴＡ株式会社,サービス業,31.14,172.69,27.81,フェーズ1(現行)
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,不動産業,31.11,128.55,14.53,フェーズ1(現行)
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,情報・通信業,30.66,79.79,18.25,フェーズ1(現行)
44750,ＨＥＮＮＧＥ株式会社,情報・通信業,30.59,64.18,39.77,フェーズ1(現行)
299A0,クラシル株式会社,情報・通信業,29.76,45.5,20.65,フェーズ1(現行)
51340,株式会社ＰＯＰＥＲ,情報・通信業,29.72,65.86,17.35,フェーズ1(現行)
44770,ＢＡＳＥ株式会社,情報・通信業,29.71,437.06,12.72,フェーズ1(現行)
55740,株式会社ＡＢＥＪＡ,情報・通信業,29.61,104.96,10.71,フェーズ1(現行)
95600,株式会社プログリット,サービス業,29.06,45.67,43.6,フェーズ1(現行)
39270,株式会社フーバーブレイン,情報・通信業,29.0,181.89,15.25,フェーズ1(現行)
55870,株式会社インバウンドプラットフォーム,情報・通信業,28.85,59.48,15.43,フェーズ1(現行)
55780,ＡＲアドバンストテクノロジ株式会社,情報・通信業,27.16,61.57,21.54,フェーズ1(現行)
44950,株式会社アイキューブドシステムズ,情報・通信業,27.15,20.53,20.54,フェーズ1(現行)
51320,株式会社ｐｌｕｓｚｅｒｏ,情報・通信業,26.91,138.23,27.73,フェーズ1(現行)
60400,日本スキー場開発株式会社,サービス業,26.88,45.03,20.13,フェーズ1(現行)
291A0,株式会社リスキル,サービス業,26.53,26.86,36.49,フェーズ1(現行)
73520,株式会社ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,サービス業,26.5,161.73,15.56,フェーズ1(現行)
93370,株式会社トリドリ,サービス業,25.72,68.93,25.73,フェーズ1(現行)
44170,グローバルセキュリティエキスパート株式会社,情報・通信業,25.23,47.19,39.75,フェーズ1(現行)
95620,ビジネスコーチ株式会社,サービス業,25.16,127.66,15.35,フェーズ1(現行)
52430,ｎｏｔｅ株式会社,サービス業,25.03,345.37,19.15,フェーズ1(現行)
73730,株式会社アイドマ・ホールディングス,サービス業,24.97,37.09,28.04,フェーズ1(現行)
286A0,株式会社ユカリア,サービス業,24.71,37.05,13.63,フェーズ1(現行)
42580,株式会社網屋,情報・通信業,24.52,95.31,30.28,フェーズ1(現行)
33000,株式会社アンビションＤＸホールディングス,不動産業,24.5,43.49,32.39,フェーズ1(現行)
70800,株式会社スポーツフィールド,サービス業,24.44,31.62,37.36,フェーズ1(現行)
62240,株式会社ＪＲＣ,輸送用機器,24.24,31.92,27.23,フェーズ1(現行)
410A0,ＧＭＯコマース株式会社,情報・通信業,23.98,57.06,20.63,フェーズ1(現行)
95560,ＩＮＴＬＯＯＰ株式会社,サービス業,23.91,51.63,23.42,フェーズ1(現行)
21730,株式会社博展,サービス業,23.83,91.55,45.77,フェーズ1(現行)
56210,株式会社ヒューマンテクノロジーズ,情報・通信業,23.8,55.08,20.95,フェーズ1(現行)
55320,株式会社リアルゲイト,不動産業,23.19,47.02,18.45,フェーズ1(現行)
480A0,株式会社リブ・コンサルティング,サービス業,22.75,87.62,20.58,フェーズ1(現行)
40130,勤次郎株式会社,情報・通信業,22.71,119.35,10.33,フェーズ1(現行)
55270,株式会社ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,不動産業,22.34,70.29,13.64,フェーズ1(現行)
41650,株式会社プレイド,情報・通信業,21.87,242.67,27.42,フェーズ1(現行)
92450,株式会社リベロ,サービス業,21.69,56.86,21.65,フェーズ1(現行)
78030,株式会社ブシロード,その他製品,21.43,324.7,14.1,フェーズ1(現行)
228A0,株式会社オプロ,情報・通信業,21.28,59.87,20.06,フェーズ1(現行)
77930,株式会社イメージ・マジック,その他製品,21.04,27.5,17.07,フェーズ1(現行)
29830,株式会社アールプランナー,不動産業,21.0,71.05,36.46,フェーズ1(現行)
39290,ソーシャルワイヤー株式会社,情報・通信業,20.92,30.51,13.12,フェーズ1(現行)
44310,株式会社スマレジ,情報・通信業,20.6,35.47,25.79,フェーズ1(現行)
39040,株式会社カヤック,情報・通信業,20.13,358.85,11.1,フェーズ1(現行)
55990,Ｓ＆Ｊ株式会社,情報・通信業,20.11,31.07,19.51,フェーズ1(現行)
44820,株式会社ウィルズ,情報・通信業,19.31,25.11,35.44,フェーズ1(現行)
73250,株式会社アイリックコーポレーション,保険業,18.97,23.84,11.43,フェーズ1(現行)
431A0,ユーソナー株式会社,情報・通信業,18.38,40.19,25.63,フェーズ1(現行)
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,情報・通信業,17.9,69.01,44.44,フェーズ1(現行)
92530,スローガン株式会社,サービス業,17.75,118.3,12.08,フェーズ1(現行)
35660,ユニフォームネクスト株式会社,小売業,17.43,59.25,14.35,フェーズ1(現行)
303A0,株式会社ｖｉｓｕｍｏ,その他製品,17.37,48.69,12.03,フェーズ1(現行)
60390,株式会社日本動物高度医療センター,サービス業,17.33,59.97,18.46,フェーズ1(現行)
148A0,株式会社ハッチ・ワーク,情報・通信業,16.55,88.57,27.37,フェーズ1(現行)
77920,株式会社コラントッテ,その他製品,16.37,29.65,28.63,フェーズ1(現行)
58700,株式会社ナルネットコミュニケーションズ,サービス業,16.19,110.57,13.78,フェーズ1(現行)
29810,株式会社ランディックス,不動産業,16.09,31.72,20.31,フェーズ1(現行)
60270,弁護士ドットコム株式会社,サービス業,15.75,43.93,23.88,フェーズ1(現行)
39790,株式会社うるる,情報・通信業,15.68,61.0,21.93,フェーズ1(現行)
244A0,グロースエクスパートナーズ株式会社,情報・通信業,15.03,43.78,22.7,フェーズ1(現行)
60450,株式会社レントラックス,サービス業,14.95,284.56,54.18,フェーズ1(現行)
44280,株式会社シノプス,情報・通信業,14.87,100.52,11.85,フェーズ1(現行)
296A0,令和アカウンティング・ホールディングス株式会社,サービス業,14.57,40.05,48.95,フェーズ1(現行)
40540,日本情報クリエイト株式会社,情報・通信業,14.39,46.41,17.05,フェーズ1(現行)
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,情報・通信業,14.29,87.95,12.56,フェーズ1(現行)
65450,株式会社インターネットインフィニティー,サービス業,14.16,25.39,18.62,フェーズ1(現行)
70750,株式会社ＱＬＳホールディングス,サービス業,13.99,37.1,27.6,フェーズ1(現行)
35420,株式会社ベガコーポレーション,小売業,13.77,49.46,13.4,フェーズ1(現行)
334A0,株式会社ビジュアル・プロセッシング・ジャパン,情報・通信業,13.75,44.46,17.09,フェーズ1(現行)
65540,株式会社エスユーエス,サービス業,13.59,51.99,23.16,フェーズ1(現行)
14440,株式会社ニッソウ,建設業,12.84,705.78,12.65,フェーズ1(現行)
436A0,サイバーソリューションズ株式会社,情報・通信業,12.78,20.02,34.01,フェーズ1(現行)
73530,ＫＩＹＯラーニング株式会社,サービス業,12.61,40.31,20.29,フェーズ1(現行)
48110,株式会社ドリーム・アーツ,情報・通信業,12.32,37.4,29.0,フェーズ1(現行)
65570,ＡＩＡＩグループ株式会社,サービス業,11.95,47.35,20.5,フェーズ1(現行)
151A0,株式会社ダイブグループ,サービス業,11.47,41.63,21.81,フェーズ1(現行)
40760,株式会社シイエヌエス,情報・通信業,10.98,38.25,14.25,フェーズ1(現行)
55920,株式会社くすりの窓口,情報・通信業,10.1,45.1,29.55,フェーズ1(現行)
30700,株式会社ジェリービーンズグループ,卸売業,331.8,53.37,-9.44,フェーズ1'のみ(自動判定)
485A0,株式会社パワーエックス,電気機器,213.36,79.46,-39.58,フェーズ1'のみ(自動判定)
44250,Ｋｕｄａｎ株式会社,情報・通信業,131.28,76.52,-6.52,フェーズ1'のみ(自動判定)
206A0,株式会社ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,121.62,20.56,-26.84,フェーズ1'のみ(自動判定)
14360,株式会社グリーンエナジー＆カンパニー,建設業,58.03,81.58,9.1,フェーズ1'のみ(自動判定)
40150,ペイクラウドホールディングス株式会社,情報・通信業,49.33,93.87,3.29,フェーズ1'のみ(自動判定)
41790,株式会社ジーネクスト,情報・通信業,46.85,66.94,-54.41,フェーズ1'のみ(自動判定)
41760,株式会社ココナラ,サービス業,42.83,25.93,9.89,フェーズ1'のみ(自動判定)
43950,株式会社アクリート,情報・通信業,38.49,318.75,9.96,フェーズ1'のみ(自動判定)
147A0,株式会社ソラコム,情報・通信業,38.15,79.01,5.71,フェーズ1'のみ(自動判定)
