code,name
92110,株式会社エフ・コード
247A0,Ａｉロボティクス株式会社
73180,セレンディップ・ホールディングス株式会社
276A0,ククレブ・アドバイザーズ株式会社
34790,株式会社ＴＫＰ
60720,地盤ネットホールディングス株式会社
76850,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
421A0,株式会社ムービン・ストラテジック・キャリア
44150,株式会社ブロードエンタープライズ
556A0,犬猫生活株式会社
40580,トヨクモ株式会社
58340,ＳＢＩリーシングサービス株式会社
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
33590,株式会社ｃｏｔｔａ
55370,株式会社ＡｌｂａＬｉｎｋ
70500,株式会社フロンティアインターナショナル
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス
36920,株式会社ＦＦＲＩセキュリティ
70890,フォースタートアップス株式会社
40190,株式会社スタメン
73780,株式会社アシロ
43770,株式会社ワンキャリア
95540,株式会社ＡＶｉＣ
51360,ｔｒｉｐｌａ株式会社
78060,株式会社ＭＴＧ
558A0,株式会社ＳＱＵＥＥＺＥ
205A0,株式会社ロゴスホールディングス
319A0,株式会社技術承継機構
55910,株式会社ＡＶＩＬＥＮ
92420,メディア総研株式会社
92710,株式会社和心
70470,ポート株式会社
51370,株式会社スマートドライブ
36250,テックファームホールディングス株式会社
50380,株式会社ｅＷｅＬＬ
581A0,ＧＯ株式会社
44930,株式会社サイバーセキュリティクラウド
50340,株式会社ｕｎｅｒｒｙ
338A0,株式会社ＺｅｎｍｕＴｅｃｈ
60310,ＺＥＴＡ株式会社
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
44370,ｇｏｏｄｄａｙｓホールディングス株式会社
44750,ＨＥＮＮＧＥ株式会社
299A0,クラシル株式会社
51340,株式会社ＰＯＰＥＲ
44770,ＢＡＳＥ株式会社
55740,株式会社ＡＢＥＪＡ
95600,株式会社プログリット
39270,株式会社フーバーブレイン
55870,株式会社インバウンドプラットフォーム
55780,ＡＲアドバンストテクノロジ株式会社
44950,株式会社アイキューブドシステムズ
51320,株式会社ｐｌｕｓｚｅｒｏ
60400,日本スキー場開発株式会社
291A0,株式会社リスキル
73520,株式会社ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ
93370,株式会社トリドリ
44170,グローバルセキュリティエキスパート株式会社
95620,ビジネスコーチ株式会社
52430,ｎｏｔｅ株式会社
73730,株式会社アイドマ・ホールディングス
286A0,株式会社ユカリア
42580,株式会社網屋
33000,株式会社アンビションＤＸホールディングス
70800,株式会社スポーツフィールド
62240,株式会社ＪＲＣ
410A0,ＧＭＯコマース株式会社
95560,ＩＮＴＬＯＯＰ株式会社
21730,株式会社博展
56210,株式会社ヒューマンテクノロジーズ
55320,株式会社リアルゲイト
480A0,株式会社リブ・コンサルティング
40130,勤次郎株式会社
55270,株式会社ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ
41650,株式会社プレイド
92450,株式会社リベロ
78030,株式会社ブシロード
228A0,株式会社オプロ
77930,株式会社イメージ・マジック
29830,株式会社アールプランナー
39290,ソーシャルワイヤー株式会社
44310,株式会社スマレジ
39040,株式会社カヤック
55990,Ｓ＆Ｊ株式会社
44820,株式会社ウィルズ
73250,株式会社アイリックコーポレーション
431A0,ユーソナー株式会社
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
92530,スローガン株式会社
35660,ユニフォームネクスト株式会社
303A0,株式会社ｖｉｓｕｍｏ
60390,株式会社日本動物高度医療センター
148A0,株式会社ハッチ・ワーク
77920,株式会社コラントッテ
58700,株式会社ナルネットコミュニケーションズ
29810,株式会社ランディックス
60270,弁護士ドットコム株式会社
39790,株式会社うるる
244A0,グロースエクスパートナーズ株式会社
60450,株式会社レントラックス
44280,株式会社シノプス
296A0,令和アカウンティング・ホールディングス株式会社
40540,日本情報クリエイト株式会社
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ
65450,株式会社インターネットインフィニティー
35420,株式会社ベガコーポレーション
334A0,株式会社ビジュアル・プロセッシング・ジャパン
65540,株式会社エスユーエス
14440,株式会社ニッソウ
436A0,サイバーソリューションズ株式会社
73530,ＫＩＹＯラーニング株式会社
48110,株式会社ドリーム・アーツ
65570,ＡＩＡＩグループ株式会社
151A0,株式会社ダイブグループ
40760,株式会社シイエヌエス
55920,株式会社くすりの窓口
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み)
325A0,追加
456A0,追加
