code,name,date,high,prior_52w_high
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-10-16,3095.0,3015.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-11-06,3300.0,3095.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-11-10,3445.0,3300.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-11-11,3560.0,3445.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-11-12,3725.0,3560.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2025-11-28,3825.0,3725.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-05-08,3870.0,3825.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-05-11,4250.0,3870.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-05-18,4275.0,4250.0
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-05-19,4790.0,4275.0
14440,株式会社ニッソウ,2026-01-19,2998.0,2984.0
14440,株式会社ニッソウ,2026-01-20,3005.0,2998.0
148A0,株式会社ハッチ・ワーク,2025-09-24,3155.0,2950.0
205A0,株式会社ロゴスホールディングス,2026-04-15,2008.0,1980.0
205A0,株式会社ロゴスホールディングス,2026-04-17,2020.0,2008.0
205A0,株式会社ロゴスホールディングス,2026-04-20,2037.0,2020.0
205A0,株式会社ロゴスホールディングス,2026-04-21,2077.0,2037.0
205A0,株式会社ロゴスホールディングス,2026-04-22,2089.0,2077.0
205A0,株式会社ロゴスホールディングス,2026-04-28,2096.0,2089.0
205A0,株式会社ロゴスホールディングス,2026-04-30,2098.0,2096.0
205A0,株式会社ロゴスホールディングス,2026-07-16,2197.0,2098.0
21730,株式会社博展,2025-08-27,720.0,718.0
21730,株式会社博展,2025-11-17,742.0,720.0
21730,株式会社博展,2025-11-18,850.0,742.0
21730,株式会社博展,2025-12-18,872.0,850.0
21730,株式会社博展,2025-12-19,888.0,872.0
21730,株式会社博展,2025-12-22,897.0,888.0
21730,株式会社博展,2026-01-09,922.0,897.0
21730,株式会社博展,2026-01-13,932.0,922.0
21730,株式会社博展,2026-01-15,963.0,932.0
21730,株式会社博展,2026-01-16,976.0,963.0
21730,株式会社博展,2026-01-19,1003.0,976.0
21730,株式会社博展,2026-01-20,1088.0,1003.0
228A0,株式会社オプロ,2025-08-27,1736.0,1659.0
228A0,株式会社オプロ,2025-08-28,1860.0,1736.0
228A0,株式会社オプロ,2025-08-29,1876.0,1860.0
228A0,株式会社オプロ,2025-09-02,2253.0,1876.0
228A0,株式会社オプロ,2025-09-18,2334.0,2253.0
228A0,株式会社オプロ,2025-09-19,2422.0,2334.0
228A0,株式会社オプロ,2025-09-22,2479.0,2422.0
228A0,株式会社オプロ,2025-09-24,2591.0,2479.0
228A0,株式会社オプロ,2025-09-25,2897.0,2591.0
247A0,Ａｉロボティクス株式会社,2025-08-15,7250.0,7050.0
247A0,Ａｉロボティクス株式会社,2025-08-19,7540.0,7250.0
247A0,Ａｉロボティクス株式会社,2025-08-21,7750.0,7540.0
247A0,Ａｉロボティクス株式会社,2025-08-22,7820.0,7750.0
247A0,Ａｉロボティクス株式会社,2025-08-26,7900.0,7820.0
247A0,Ａｉロボティクス株式会社,2025-08-28,8000.0,7900.0
247A0,Ａｉロボティクス株式会社,2025-08-29,8490.0,8000.0
276A0,ククレブ・アドバイザーズ株式会社,2025-08-18,7900.0,7580.0
276A0,ククレブ・アドバイザーズ株式会社,2025-08-19,8150.0,7900.0
276A0,ククレブ・アドバイザーズ株式会社,2025-08-22,8190.0,8150.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-03-27,817.0,807.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-04-01,827.0,817.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-04-02,845.0,827.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-04-07,877.0,845.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-04-08,889.0,877.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-07-21,901.0,889.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-07-22,998.0,901.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-21,1087.0,998.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-24,1140.0,1087.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-26,1156.0,1140.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-27,1170.0,1156.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-28,1182.0,1170.0
296A0,令和アカウンティング・ホールディングス株式会社,2026-08-31,1206.0,1182.0
29830,株式会社アールプランナー,2025-08-25,2053.0,2017.0
29830,株式会社アールプランナー,2025-08-26,2112.0,2053.0
29830,株式会社アールプランナー,2025-08-27,2178.0,2112.0
29830,株式会社アールプランナー,2025-09-03,2219.0,2178.0
29830,株式会社アールプランナー,2025-09-05,2225.0,2219.0
29830,株式会社アールプランナー,2025-09-08,2268.0,2225.0
29830,株式会社アールプランナー,2025-09-12,2672.0,2268.0
29830,株式会社アールプランナー,2025-09-16,2866.0,2672.0
29830,株式会社アールプランナー,2025-12-10,3180.0,2866.0
29830,株式会社アールプランナー,2026-01-26,3295.0,3180.0
319A0,株式会社技術承継機構,2025-09-08,6880.0,6500.0
319A0,株式会社技術承継機構,2025-09-09,7500.0,6880.0
319A0,株式会社技術承継機構,2025-09-25,7720.0,7500.0
319A0,株式会社技術承継機構,2025-10-02,8460.0,7720.0
319A0,株式会社技術承継機構,2025-10-03,8610.0,8460.0
319A0,株式会社技術承継機構,2025-10-07,8740.0,8610.0
319A0,株式会社技術承継機構,2025-10-08,9590.0,8740.0
319A0,株式会社技術承継機構,2025-11-05,9670.0,9590.0
319A0,株式会社技術承継機構,2025-11-06,9850.0,9670.0
319A0,株式会社技術承継機構,2025-11-18,10260.0,9850.0
319A0,株式会社技術承継機構,2025-11-26,10390.0,10260.0
319A0,株式会社技術承継機構,2025-11-27,10970.0,10390.0
319A0,株式会社技術承継機構,2025-11-28,11650.0,10970.0
319A0,株式会社技術承継機構,2026-01-09,11920.0,11650.0
319A0,株式会社技術承継機構,2026-01-13,12490.0,11920.0
319A0,株式会社技術承継機構,2026-01-19,12740.0,12490.0
319A0,株式会社技術承継機構,2026-01-20,12750.0,12740.0
319A0,株式会社技術承継機構,2026-03-02,13690.0,12750.0
319A0,株式会社技術承継機構,2026-03-06,13770.0,13690.0
319A0,株式会社技術承継機構,2026-03-10,14180.0,13770.0
319A0,株式会社技術承継機構,2026-04-20,14210.0,14180.0
319A0,株式会社技術承継機構,2026-05-07,15560.0,14210.0
319A0,株式会社技術承継機構,2026-05-18,16280.0,15560.0
319A0,株式会社技術承継機構,2026-05-19,19600.0,16280.0
319A0,株式会社技術承継機構,2026-07-13,20800.0,19600.0
319A0,株式会社技術承継機構,2026-07-14,20940.0,20800.0
319A0,株式会社技術承継機構,2026-07-15,21300.0,20940.0
319A0,株式会社技術承継機構,2026-08-14,21800.0,21300.0
319A0,株式会社技術承継機構,2026-08-17,22700.0,21800.0
33000,株式会社アンビションＤＸホールディングス,2025-08-05,2482.0,2460.0
33000,株式会社アンビションＤＸホールディングス,2025-08-06,2484.0,2482.0
33000,株式会社アンビションＤＸホールディングス,2025-08-08,2500.0,2484.0
33000,株式会社アンビションＤＸホールディングス,2025-08-12,2520.0,2500.0
33000,株式会社アンビションＤＸホールディングス,2025-08-13,2522.0,2520.0
33000,株式会社アンビションＤＸホールディングス,2025-08-14,2961.0,2522.0
33590,株式会社ｃｏｔｔａ,2025-08-22,524.0,511.0
33590,株式会社ｃｏｔｔａ,2025-08-25,571.0,524.0
33590,株式会社ｃｏｔｔａ,2025-08-26,586.0,571.0
33590,株式会社ｃｏｔｔａ,2025-08-27,599.0,586.0
33590,株式会社ｃｏｔｔａ,2025-08-29,610.0,599.0
33590,株式会社ｃｏｔｔａ,2025-09-01,615.0,610.0
33590,株式会社ｃｏｔｔａ,2025-09-05,616.0,615.0
34790,株式会社ＴＫＰ,2025-08-15,2200.0,2182.0
34790,株式会社ＴＫＰ,2026-01-26,2294.0,2200.0
34790,株式会社ＴＫＰ,2026-01-27,2350.0,2294.0
34790,株式会社ＴＫＰ,2026-01-28,2363.0,2350.0
34790,株式会社ＴＫＰ,2026-01-30,2377.0,2363.0
34790,株式会社ＴＫＰ,2026-02-02,2415.0,2377.0
34790,株式会社ＴＫＰ,2026-02-03,2420.0,2415.0
34790,株式会社ＴＫＰ,2026-02-09,2425.0,2420.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-06,2079.0,2053.0
