code,entry_date,entry_price,outcome,outcome_date,outcome_pct,hold_days,stop_is_gap,avg_trading_value_20d_yen
141A0,2025-12-25,3035.0,STOPPED,2026-05-26,-9.52,152,False,3658674255
141A0,2025-12-26,3130.0,STOPPED,2026-01-14,-9.74,19,False,3894732300
141A0,2026-01-19,3180.0,STOPPED,2026-01-29,-8.96,10,False,3983470465
141A0,2026-01-20,3295.0,STOPPED,2026-01-22,-9.38,2,False,4089524445
141A0,2026-02-13,3890.0,STOPPED,2026-05-15,-8.23,91,False,2938287350
141A0,2026-02-16,3895.0,STOPPED,2026-05-15,-8.34,88,False,3299535125
141A0,2026-02-19,4480.0,STOPPED,2026-03-04,-9.15,13,True,3921328810
141A0,2026-02-20,4600.0,STOPPED,2026-03-04,-11.52,12,True,4329865260
141A0,2026-02-24,4620.0,STOPPED,2026-03-04,-11.9,8,True,4840793960
141A0,2026-02-26,4485.0,STOPPED,2026-03-04,-9.25,6,True,5240250335
141A0,2026-04-06,4655.0,STOPPED,2026-04-13,-11.6,7,False,3860819400
141A0,2026-04-07,4780.0,STOPPED,2026-04-09,-8.58,2,False,3874705825
141A0,2026-04-08,4655.0,STOPPED,2026-04-13,-11.6,5,False,3772607125
44780,2023-05-16,3680.0,STOPPED,2023-05-25,-9.78,9,False,1504453050
44780,2025-02-17,3900.0,STOPPED,2025-03-07,-9.23,18,False,1507985705
44780,2025-02-19,4180.0,STOPPED,2025-03-03,-8.01,12,False,1854802070
44780,2025-06-05,4145.0,STOPPED,2025-06-09,-8.08,4,False,1546379450
44780,2025-08-04,4255.0,STOPPED,2025-08-14,-21.27,10,True,1342009675
44780,2025-08-05,4255.0,STOPPED,2025-08-14,-21.27,9,True,1397851100
44780,2026-08-21,3780.0,TIMEOUT,,,,,1732560210
44780,2026-08-24,3920.0,TIMEOUT,,,,,1780268220
44780,2026-08-27,4230.0,STOPPED,2026-09-03,-8.16,7,False,2046191885
44780,2026-08-28,4435.0,STOPPED,2026-09-02,-11.39,5,True,2278560610
78060,2023-07-31,1625.0,STOPPED,2023-08-07,-12.43,7,False,54204570
78060,2023-08-01,1600.0,STOPPED,2023-08-07,-11.06,6,False,59006120
78060,2023-08-15,1639.0,STOPPED,2023-09-28,-8.24,44,False,99885895
78060,2023-09-13,1639.0,STOPPED,2023-09-28,-8.24,15,False,68065505
78060,2024-11-12,1785.0,STOPPED,2024-12-16,-16.64,34,True,37044725
78060,2024-11-13,1915.0,STOPPED,2024-12-16,-22.3,33,True,73471685
78060,2024-11-20,1920.0,STOPPED,2024-12-16,-22.5,26,True,125553520
78060,2024-11-27,1950.0,STOPPED,2024-12-13,-9.23,16,False,155002070
78060,2024-12-02,1946.0,STOPPED,2024-12-13,-9.04,11,False,179561215
78060,2024-12-03,2054.0,STOPPED,2024-12-13,-13.83,10,True,187744755
78060,2024-12-04,2096.0,STOPPED,2024-12-13,-15.55,9,True,209297975
78060,2024-12-05,2146.0,STOPPED,2024-12-13,-17.52,8,True,228672485
78060,2024-12-06,2183.0,STOPPED,2024-12-13,-18.92,7,True,237769495
78060,2024-12-11,2239.0,STOPPED,2024-12-13,-20.95,2,True,220287330
78060,2024-12-12,2270.0,STOPPED,2024-12-13,-22.03,1,True,203606845
78060,2025-03-11,2365.0,TIMEOUT,,,,,75890950
78060,2025-03-12,2429.0,TIMEOUT,,,,,190116130
78060,2025-03-13,2547.0,TIMEOUT,,,,,277575230
78060,2025-03-14,2549.0,TIMEOUT,,,,,320359420
78060,2025-03-17,2553.0,TIMEOUT,,,,,353842605
78060,2025-03-24,2744.0,STOPPED,2025-04-04,-9.55,11,False,423586215
78060,2025-03-26,2729.0,STOPPED,2025-04-04,-9.05,9,False,474724115
78060,2025-03-27,2800.0,STOPPED,2025-04-03,-8.57,7,False,494268230
78060,2025-04-24,2845.0,TIMEOUT,,,,,396798795
78060,2025-04-30,2904.0,TIMEOUT,,,,,359899750
78060,2025-05-01,2903.0,TIMEOUT,,,,,355046410
78060,2025-05-07,3185.0,TIMEOUT,,,,,347624255
78060,2025-05-09,3460.0,TIMEOUT,,,,,428013330
78060,2025-05-13,3475.0,TIMEOUT,,,,,512054080
78060,2025-05-16,3470.0,TIMEOUT,,,,,545020440
78060,2025-06-02,3705.0,TIMEOUT,,,,,555998095
78060,2025-06-04,3765.0,TIMEOUT,,,,,607986300
78060,2025-06-05,3750.0,TIMEOUT,,,,,552556350
78060,2025-06-25,4080.0,STOPPED,2025-07-03,-8.21,8,False,435376750
78060,2025-07-09,4150.0,STOPPED,2025-10-28,-9.04,111,False,592066825
78060,2025-07-10,4135.0,STOPPED,2025-10-28,-8.71,110,False,622083450
78060,2025-07-17,4560.0,STOPPED,2025-09-03,-10.2,48,False,688298350
78060,2025-07-18,4470.0,STOPPED,2025-09-03,-8.39,47,False,797944675
78060,2025-07-24,4700.0,STOPPED,2025-09-02,-10.53,40,False,905796675
78060,2025-07-25,4830.0,STOPPED,2025-08-01,-8.49,7,False,951766475
78060,2025-07-31,4920.0,STOPPED,2025-08-01,-10.16,1,False,1047155375
78060,2025-08-01,4450.0,STOPPED,2025-10-14,-9.55,74,True,1096475425
78060,2025-09-18,4990.0,STOPPED,2025-10-01,-10.32,13,False,1026821025
78060,2025-09-19,5080.0,STOPPED,2025-09-30,-8.76,11,False,1178391125
78060,2026-02-13,5380.0,TIMEOUT,,,,,793012825
78060,2026-02-27,5750.0,TIMEOUT,,,,,1119137925
78060,2026-03-02,5670.0,TIMEOUT,,,,,1201100300
78060,2026-03-04,5670.0,TIMEOUT,,,,,1243332175
78060,2026-03-05,5960.0,TIMEOUT,,,,,1345878225
78060,2026-03-11,6350.0,STOPPED,2026-03-23,-10.39,12,False,1573002500
78060,2026-03-27,6470.0,STOPPED,2026-04-10,-8.04,14,False,1202870200
78060,2026-04-15,6390.0,STOPPED,2026-04-30,-10.49,15,False,796033250
78060,2026-04-17,6600.0,STOPPED,2026-04-27,-9.7,10,False,792112800
78060,2026-04-20,6600.0,STOPPED,2026-04-27,-9.7,7,False,805957400
78060,2026-05-12,6610.0,TIMEOUT,,,,,753318150
78060,2026-05-13,6720.0,STOPPED,2026-05-22,-8.48,9,False,927282600
78060,2026-05-14,7180.0,STOPPED,2026-05-18,-13.09,4,False,1008038100
78060,2026-05-28,7440.0,STOPPED,2026-06-04,-10.62,7,False,1231799700
78060,2026-05-29,7500.0,STOPPED,2026-06-02,-8.27,4,False,1283162250
78060,2026-06-18,7650.0,TIMEOUT,,,,,885674750
78060,2026-07-02,7860.0,STOPPED,2026-07-13,-8.02,11,False,705128900
78060,2026-07-03,8100.0,STOPPED,2026-07-10,-9.63,7,False,698208600
78060,2026-08-17,8230.0,TIMEOUT,,,,,1125734100
78060,2026-08-20,8640.0,TIMEOUT,,,,,1080968650
78060,2026-08-21,8680.0,TIMEOUT,,,,,1175167450
78060,2026-08-25,8980.0,STOPPED,2026-09-03,-9.13,9,False,1225142400
78060,2026-08-26,9090.0,STOPPED,2026-09-03,-10.23,8,False,1282172250
71570,2023-01-20,1250.0,STOPPED,2023-02-28,-8.16,39,False,374539800
71570,2023-01-23,1274.0,STOPPED,2023-02-28,-9.89,36,False,438112040
71570,2023-01-24,1304.0,STOPPED,2023-02-22,-8.13,29,False,460762060
71570,2023-01-25,1320.0,STOPPED,2023-02-22,-9.24,28,False,483878900
71570,2023-01-26,1330.0,STOPPED,2023-02-16,-8.12,21,False,512307800
71570,2023-02-01,1384.0,STOPPED,2023-02-10,-9.9,9,False,563070365
71570,2023-02-10,1408.0,STOPPED,2023-02-16,-13.21,6,False,619341775
71570,2023-02-14,1417.0,STOPPED,2023-02-16,-13.76,2,False,717343965
71570,2023-02-15,1444.0,STOPPED,2023-02-16,-15.37,1,False,728878790
71570,2024-02-19,1435.0,STOPPED,2024-02-26,-8.64,7,False,378371555
71570,2024-03-21,1456.0,STOPPED,2024-04-15,-8.45,25,False,375987110
71570,2024-03-22,1524.0,STOPPED,2024-04-03,-8.73,12,False,384792830
71570,2024-03-25,1477.0,STOPPED,2024-04-15,-9.75,21,True,392606530
71570,2024-03-27,1534.0,STOPPED,2024-04-03,-9.32,7,False,402794305
71570,2024-06-18,1587.0,STOPPED,2024-08-05,-21.24,48,True,354895950
71570,2024-06-19,1603.0,STOPPED,2024-08-05,-22.02,47,True,359710280
71570,2024-06-20,1664.0,STOPPED,2024-08-02,-9.38,43,False,360449670
71570,2024-06-26,1840.0,STOPPED,2024-07-24,-8.75,28,False,343022320
71570,2024-10-21,1912.0,STOPPED,2025-01-14,-8.11,85,False,328804040
71570,2024-10-29,1944.0,STOPPED,2024-12-18,-9.16,50,False,433263165
71570,2024-10-31,2005.0,STOPPED,2024-11-26,-8.78,26,False,477251225
71570,2024-11-01,1991.0,STOPPED,2024-11-26,-8.14,25,False,487798560
71570,2024-11-08,2000.0,STOPPED,2024-11-26,-8.55,18,False,538805990
71570,2024-11-12,2003.0,STOPPED,2024-11-26,-8.69,14,False,538172380
71570,2024-11-18,2011.0,STOPPED,2024-11-26,-9.05,8,False,618027205
71570,2024-11-19,2088.0,STOPPED,2024-11-25,-8.19,6,False,616317925
71570,2024-11-20,2025.0,STOPPED,2024-11-26,-9.68,6,False,608929165
71570,2025-06-02,2158.0,STOPPED,2025-09-24,-9.04,114,False,320578650
71570,2025-06-04,2165.0,STOPPED,2025-09-24,-9.33,112,False,348465220
71570,2025-06-05,2167.0,STOPPED,2025-09-24,-9.41,111,False,351329395
71570,2025-06-06,2261.0,STOPPED,2025-07-08,-8.8,32,False,355404525
71570,2025-06-09,2281.0,STOPPED,2025-07-03,-8.37,24,False,369576575
71570,2025-06-10,2274.0,STOPPED,2025-07-03,-8.09,23,False,382990380
71570,2025-06-12,2276.0,STOPPED,2025-07-03,-8.17,21,False,387602840
71570,2025-06-13,2253.0,STOPPED,2025-07-08,-8.48,25,False,383274200
71570,2025-08-01,2387.0,STOPPED,2025-09-03,-8.34,33,False,722022400
71570,2025-08-05,2473.0,STOPPED,2025-08-29,-8.98,24,False,781541055
71570,2025-08-13,2525.0,STOPPED,2025-08-27,-8.12,14,False,904779775
71570,2025-08-14,2517.0,STOPPED,2025-08-28,-9.38,14,True,942059965
71570,2025-08-18,2625.0,STOPPED,2025-08-21,-9.52,3,True,999221485
76850,2024-08-16,5150.0,STOPPED,2024-10-18,-11.65,63,True,184820350
76850,2024-08-19,4940.0,STOPPED,2024-10-21,-10.22,63,False,246568975
76850,2024-08-20,5120.0,STOPPED,2024-10-18,-11.13,59,True,271470825
76850,2024-08-21,5040.0,STOPPED,2024-10-18,-9.72,58,False,287235875
76850,2024-08-22,5380.0,STOPPED,2024-10-17,-10.87,56,False,299808875
76850,2024-08-26,5580.0,STOPPED,2024-09-11,-8.24,16,False,307896075
76850,2024-09-30,5850.0,STOPPED,2024-10-01,-8.72,1,False,382002350
76850,2024-10-04,5690.0,STOPPED,2024-10-17,-15.73,13,True,363233400
76850,2026-01-05,4905.0,STOPPED,2026-03-30,-40.08,84,True,770477175
76850,2026-01-09,5050.0,STOPPED,2026-03-30,-41.8,80,True,815097850
76850,2026-01-13,5070.0,STOPPED,2026-03-30,-42.03,76,True,799343600
76850,2026-02-10,5210.0,STOPPED,2026-03-30,-43.59,48,True,545620600
76850,2026-02-12,5120.0,STOPPED,2026-03-30,-42.6,46,True,524372850
76850,2026-02-13,5230.0,STOPPED,2026-03-30,-43.8,45,True,538719800
76850,2026-02-16,5560.0,STOPPED,2026-03-30,-47.14,42,True,603880850
76850,2026-02-17,5510.0,STOPPED,2026-03-30,-46.66,41,True,741211850
76850,2026-02-18,5940.0,STOPPED,2026-03-04,-10.61,14,True,761420350
76850,2026-02-19,5920.0,STOPPED,2026-03-04,-10.3,13,True,792076150
76850,2026-02-20,6200.0,STOPPED,2026-03-03,-10.16,11,False,799120600
76850,2026-02-24,6120.0,STOPPED,2026-03-03,-8.99,7,False,833250400
76850,2026-03-09,6510.0,STOPPED,2026-03-24,-12.29,15,False,1217834750
