code,name
141A0,株式会社トライアルホールディングス
44780,フリー株式会社
78060,株式会社ＭＴＧ
71570,ライフネット生命保険株式会社
76850,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
91660,株式会社ＧＥＮＤＡ
58420,インテグラル株式会社
52530,カバー株式会社
319A0,株式会社技術承継機構
34790,株式会社ＴＫＰ
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
247A0,Ａｉロボティクス株式会社
77770,株式会社スリー・ディー・マトリックス
60270,弁護士ドットコム株式会社
29860,株式会社ＬＡホールディングス
77790,ＣＹＢＥＲＤＹＮＥ株式会社
78030,株式会社ブシロード
42590,株式会社エクサウィザーズ
44750,ＨＥＮＮＧＥ株式会社
36920,株式会社ＦＦＲＩセキュリティ
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス
73260,ＳＢＩインシュアランスグループ株式会社
44310,株式会社スマレジ
43750,セーフィー株式会社
43770,株式会社ワンキャリア
166A0,株式会社タスキホールディングス
73730,株式会社アイドマ・ホールディングス
41650,株式会社プレイド
147A0,株式会社ソラコム
39050,データセクション株式会社
299A0,クラシル株式会社
58340,ＳＢＩリーシングサービス株式会社
50380,株式会社ｅＷｅＬＬ
523A0,株式会社セイワホールディングス
276A0,ククレブ・アドバイザーズ株式会社
73520,株式会社ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ
44770,ＢＡＳＥ株式会社
50270,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ株式会社
44170,グローバルセキュリティエキスパート株式会社
286A0,株式会社ユカリア
95560,ＩＮＴＬＯＯＰ株式会社
55740,株式会社ＡＢＥＪＡ
94670,株式会社アルファポリス
43930,株式会社バンク・オブ・イノベーション
52540,株式会社Ａｒｅｎｔ
218A0,株式会社Ｌｉｂｅｒａｗａｒｅ
21580,株式会社ＦＲＯＮＴＥＯ
70470,ポート株式会社
52430,ｎｏｔｅ株式会社
40580,トヨクモ株式会社
296A0,令和アカウンティング・ホールディングス株式会社
51320,株式会社ｐｌｕｓｚｅｒｏ
55920,株式会社くすりの窓口
60860,シンメンテホールディングス株式会社
42580,株式会社網屋
73180,セレンディップ・ホールディングス株式会社
45790,ラクオリア創薬株式会社
91580,株式会社シーユーシー
421A0,株式会社ムービン・ストラテジック・キャリア
65620,株式会社ジーニー
40130,勤次郎株式会社
76830,株式会社ダブルエー
29980,クリアル株式会社
39890,シェアリングテクノロジー株式会社
60400,日本スキー場開発株式会社
92040,スカイマーク株式会社
51390,オープンワーク株式会社
431A0,ユーソナー株式会社
60720,地盤ネットホールディングス株式会社
135A0,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
43710,株式会社コアコンセプト・テクノロジー
37730,株式会社アドバンスト・メディア
29360,ベースフード株式会社
91630,株式会社ナレルグループ
35580,ジェイドグループ株式会社
62240,株式会社ＪＲＣ
44980,サイバートラスト株式会社
44930,株式会社サイバーセキュリティクラウド
35420,株式会社ベガコーポレーション
39140,ＪＩＧ－ＳＡＷ株式会社
92110,株式会社エフ・コード
51370,株式会社スマートドライブ
29830,株式会社アールプランナー
55320,株式会社リアルゲイト
55370,株式会社ＡｌｂａＬｉｎｋ
44180,株式会社ＪＤＳＣ
55900,株式会社ネットスターズ
71190,株式会社ハルメクホールディングス
60390,株式会社日本動物高度医療センター
92510,株式会社ＡＢ＆Ｃｏｍｐａｎｙ
44820,株式会社ウィルズ
14310,株式会社Ｌｉｂ　Ｗｏｒｋ
44480,株式会社ｋｕｂｅｌｌ
37230,日本ファルコム株式会社
29370,株式会社サンクゼール
48110,株式会社ドリーム・アーツ
55860,株式会社Ｌａｂｏｒｏ．ＡＩ
14360,株式会社グリーンエナジー＆カンパニー
62550,株式会社エヌ・ピー・シー
436A0,サイバーソリューションズ株式会社
70940,株式会社ＮｅｘＴｏｎｅ
92720,ブティックス株式会社
31400,ＢＲＵＮＯ株式会社
33000,株式会社アンビションＤＸホールディングス
155A0,株式会社情報戦略テクノロジー
70500,株式会社フロンティアインターナショナル
65610,株式会社ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ
95600,株式会社プログリット
56210,株式会社ヒューマンテクノロジーズ
21730,株式会社博展
92700,バリュエンスホールディングス株式会社
95540,株式会社ＡＶｉＣ
35560,リネットジャパングループ株式会社
77920,株式会社コラントッテ
93430,株式会社アイビス
44790,株式会社マクアケ
91680,株式会社ライズ・コンサルティング・グループ
95530,株式会社マイクロアド
39910,ウォンテッドリー株式会社
60450,株式会社レントラックス
25860,株式会社フルッタフルッタ
478A0,株式会社フツパー
45700,株式会社免疫生物研究所
71100,株式会社クラシコム
29810,株式会社ランディックス
34180,株式会社バルニバービ
44120,株式会社サイエンスアーツ
55700,株式会社ジェノバ
55820,株式会社グリッド
47720,株式会社ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ
92450,株式会社リベロ
472A0,株式会社ミラティブ
74090,ＡｅｒｏＥｄｇｅ株式会社
41760,株式会社ココナラ
70970,株式会社さくらさくプラス
41690,ＥＮＥＣＨＡＮＧＥ株式会社
40150,ペイクラウドホールディングス株式会社
37930,株式会社ドリコム
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
92520,株式会社ラストワンマイル
55880,ファーストアカウンティング株式会社
58920,株式会社ｙｕｔｏｒｉ
55720,株式会社Ｒｉｄｇｅ－ｉ
41680,株式会社ヤプリ
40110,株式会社ヘッドウォータース
65540,株式会社エスユーエス
61800,ＧＭＯメディア株式会社
39110,株式会社Ａｉｍｉｎｇ
556A0,犬猫生活株式会社
93370,株式会社トリドリ
40540,日本情報クリエイト株式会社
30630,株式会社ジェイグループホールディングス
441A0,ＮＥ株式会社
73740,株式会社コンフィデンス・インターワークス
58880,ＤＡＩＷＡ　ＣＹＣＬＥ株式会社
39790,株式会社うるる
51360,ｔｒｉｐｌａ株式会社
41750,株式会社ｃｏｌｙ
14010,株式会社エムビーエス
43080,株式会社Ｊストリーム
44950,株式会社アイキューブドシステムズ
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ
14470,ＳＡＡＦホールディングス株式会社
65680,神戸天然物化学株式会社
43970,株式会社チームスピリット
264A0,株式会社Ｓｃｈｏｏ
36950,ＧＭＯプロダクトプラットフォーム株式会社
60940,株式会社フリークアウト・ホールディングス
70610,日本ホスピスホールディングス株式会社
52440,株式会社ｊｉｇ．ｊｐ
43890,プロパティデータバンク株式会社
55780,ＡＲアドバンストテクノロジ株式会社
73780,株式会社アシロ
43950,株式会社アクリート
50340,株式会社ｕｎｅｒｒｙ
91620,株式会社ブリーチ
55270,株式会社ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ
95580,ジャパニアス株式会社
52480,株式会社テクノロジーズ
70820,株式会社ジモティー
42640,株式会社セキュア
44880,ＡＩ　ｉｎｓｉｄｅ株式会社
480A0,株式会社リブ・コンサルティング
40550,ティアンドエスグループ株式会社
73510,株式会社グッドパッチ
44420,バルテス・ホールディングス株式会社
42620,ニフティライフスタイル株式会社
92180,株式会社メンタルヘルステクノロジーズ
65970,ＨＰＣシステムズ株式会社
61660,株式会社中村超硬
151A0,株式会社ダイブグループ
39040,株式会社カヤック
73710,Ｚｅｎｋｅｎ株式会社
55910,株式会社ＡＶＩＬＥＮ
60330,株式会社エクストリーム
92270,マイクロ波化学株式会社
55990,Ｓ＆Ｊ株式会社
156A0,マテリアルグループ株式会社
71330,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ株式会社
70960,株式会社ステムセル研究所
479A0,ＰＲＯＮＩ株式会社
245A0,株式会社ＩＮＧＳ
244A0,グロースエクスパートナーズ株式会社
153A0,株式会社カウリス
65570,ＡＩＡＩグループ株式会社
60310,ＺＥＴＡ株式会社
70390,ブリッジインターナショナルグループ株式会社
415A0,ＧＭＯ　ＴＥＣＨホールディングス株式会社
70890,フォースタートアップス株式会社
49340,プレミアアンチエイジング株式会社
410A0,ＧＭＯコマース株式会社
40190,株式会社スタメン
70660,株式会社ピアズ
36250,テックファームホールディングス株式会社
73430,ブロードマインド株式会社
44370,ｇｏｏｄｄａｙｓホールディングス株式会社
205A0,株式会社ロゴスホールディングス
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ
29780,株式会社ツクルバ
35660,ユニフォームネクスト株式会社
44760,ＡＩ　ＣＲＯＳＳ株式会社
39270,株式会社フーバーブレイン
44500,株式会社パワーソリューションズ
338A0,株式会社ＺｅｎｍｕＴｅｃｈ
36230,ビリングシステム株式会社
44150,株式会社ブロードエンタープライズ
42560,株式会社サインド
70480,ベルトラ株式会社
36280,株式会社データホライゾン
42610,アジアクエスト株式会社
73250,株式会社アイリックコーポレーション
44360,株式会社ミンカブ・ジ・インフォノイド
60490,株式会社イトクロ
173A0,株式会社ハンモック
70790,ＷＤＢココ株式会社
70800,株式会社スポーツフィールド
177A0,コージンバイオ株式会社
92460,株式会社プロジェクトホールディングス
44140,株式会社フレクト
33590,株式会社ｃｏｔｔａ
43800,株式会社Ｍマート
241A0,株式会社ＲＯＸＸ
24380,株式会社アスカネット
41770,株式会社ｉ－ｐｌｕｇ
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ
40600,ｒａｋｕｍｏ株式会社
76950,株式会社交換できるくん
61820,株式会社メタリアル
324A0,株式会社ブッキングリゾート
65800,株式会社ライトアップ
93460,株式会社ココルポート
44860,ユナイトアンドグロウ株式会社
92710,株式会社和心
291A0,株式会社リスキル
228A0,株式会社オプロ
70910,株式会社リビングプラットフォーム
43720,ユミルリンク株式会社
40740,株式会社ラキール
44960,株式会社コマースＯｎｅホールディングス
73700,株式会社Ｅｎｊｉｎ
58700,株式会社ナルネットコミュニケーションズ
21950,アミタホールディングス株式会社
44900,株式会社ビザスク
145A0,株式会社Ｌ　ｉｓ　Ｂ
49370,株式会社Ｗａｑｏｏ
42550,ＴＨＥＣＯＯ株式会社
93260,関通ホールディングス株式会社
44450,リビン・テクノロジーズ株式会社
42700,株式会社ＢｅｅＸ
44280,株式会社シノプス
40760,株式会社シイエヌエス
40750,ブレインズテクノロジー株式会社
73530,ＫＩＹＯラーニング株式会社
39360,株式会社グローバルウェイ
60380,株式会社イード
248A0,株式会社キッズスター
91590,株式会社Ｗ　ＴＯＫＹＯ
196A0,株式会社ＭＦＳ
92120,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ株式会社
44840,ランサーズ株式会社
50330,株式会社ヌーラボ
92370,株式会社笑美面
39300,株式会社はてな
70720,株式会社インティメート・マージャー
44290,リックソフト株式会社
73610,株式会社ヒューマンクリエイションホールディングス
42600,株式会社ハイブリッドテクノロジーズ
269A0,株式会社Ｓａｐｅｅｔ
65450,株式会社インターネットインフィニティー
148A0,株式会社ハッチ・ワーク
50310,モイ株式会社
92590,株式会社タカヨシホールディングス
265A0,Ｈｍｃｏｍｍ株式会社
43910,ロジザード株式会社
58670,株式会社エスネットワークス
95570,株式会社エアークローゼット
71140,株式会社フーディソン
73450,株式会社アイ・パートナーズフィナンシャル
55870,株式会社インバウンドプラットフォーム
44160,株式会社Ｔｒｕｅ　Ｄａｔａ
50280,セカンドサイトアナリティカ株式会社
40680,ベイシス株式会社
39290,ソーシャルワイヤー株式会社
31370,株式会社ファンデリー
73690,株式会社メイホーホールディングス
36220,ネットイヤーグループ株式会社
44270,株式会社ＥｄｕＬａｂ
39170,株式会社アイリッジ
77930,株式会社イメージ・マジック
44470,株式会社ピー・ビーシステムズ
71120,株式会社キューブ
65770,株式会社ベストワンドットコム
93440,アクシスコンサルティング株式会社
43700,モビルス株式会社
70490,株式会社識学
60340,ＭＲＴ株式会社
52520,日本ナレッジ株式会社
58580,株式会社ＳＴＧ
280A0,株式会社ＴＭＨ
44870,株式会社スペースマーケット
92410,株式会社フューチャーリンクネットワーク
55750,株式会社Ｇｌｏｂｅｅ
70690,株式会社サイバー・バズ
65630,株式会社みらいワークス
51340,株式会社ＰＯＰＥＲ
