code,name,seq,new_high_date,high,prior_52w_high,true_low_date,true_high_date,true_multiple
45700,株式会社免疫生物研究所,1,2023-07-06,552.0,530.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,2,2023-07-07,652.0,552.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,3,2023-07-10,705.0,652.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,4,2023-07-12,755.0,705.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,5,2023-07-27,760.0,755.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,6,2023-08-09,789.0,760.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,7,2023-08-10,845.0,789.0,2022-12-28,2023-08-14,3.13
45700,株式会社免疫生物研究所,8,2023-08-14,929.0,845.0,2022-12-28,2023-08-14,3.13
39050,データセクション株式会社,1,2023-06-02,338.0,302.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,2,2023-06-20,407.0,338.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,3,2023-06-21,437.0,407.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,4,2024-01-12,485.0,437.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,5,2024-01-15,565.0,485.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,6,2024-01-16,665.0,565.0,2023-01-17,2024-01-17,3.1
39050,データセクション株式会社,7,2024-01-17,738.0,665.0,2023-01-17,2024-01-17,3.1
92110,株式会社エフ・コード,1,2024-01-16,2765.0,2400.0,2023-10-23,2024-01-30,3.04
92110,株式会社エフ・コード,2,2024-01-19,2855.0,2765.0,2023-10-23,2024-01-30,3.04
92110,株式会社エフ・コード,3,2024-01-22,2953.0,2855.0,2023-10-23,2024-01-30,3.04
92110,株式会社エフ・コード,4,2024-01-24,3055.0,2953.0,2023-10-23,2024-01-30,3.04
92110,株式会社エフ・コード,5,2024-01-30,3165.0,3055.0,2023-10-23,2024-01-30,3.04
25860,株式会社フルッタフルッタ,1,2024-08-15,95.0,82.0,2024-08-05,2024-08-15,3.28
33000,株式会社アンビションＤＸホールディングス,1,2023-02-15,639.0,636.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,2,2023-02-20,678.0,639.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,3,2023-02-21,697.0,678.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,4,2023-03-03,718.0,697.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,5,2023-03-06,729.0,718.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,6,2023-03-07,737.0,729.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,7,2023-03-09,745.0,737.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,8,2023-05-12,754.0,745.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,9,2023-05-15,755.0,754.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,10,2023-05-16,803.0,755.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,11,2023-05-17,822.0,803.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,12,2023-05-18,831.0,822.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,13,2023-05-22,847.0,831.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,14,2023-05-26,865.0,847.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,15,2023-05-29,895.0,865.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,16,2023-05-30,923.0,895.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,17,2023-06-20,943.0,923.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,18,2023-07-20,946.0,943.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,19,2023-07-28,974.0,946.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,20,2024-04-22,975.0,974.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,21,2024-04-23,998.0,975.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,22,2024-06-21,1037.0,998.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,23,2024-06-24,1059.0,1037.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,24,2024-06-25,1070.0,1059.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,25,2024-08-13,1074.0,1070.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,26,2024-08-14,1362.0,1074.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,27,2024-08-15,1660.0,1362.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,28,2024-08-26,1700.0,1660.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,29,2024-08-27,1750.0,1700.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,30,2024-08-29,1776.0,1750.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,31,2024-08-30,1837.0,1776.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,32,2024-09-02,1880.0,1837.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,33,2024-09-19,1900.0,1880.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,34,2024-09-27,2020.0,1900.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,35,2024-10-03,2038.0,2020.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,36,2024-11-14,2081.0,2038.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,37,2024-11-15,2104.0,2081.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,38,2024-11-18,2134.0,2104.0,2023-12-18,2024-11-19,3.08
33000,株式会社アンビションＤＸホールディングス,39,2024-11-19,2190.0,2134.0,2023-12-18,2024-11-19,3.08
73780,株式会社アシロ,1,2023-07-04,980.0,976.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,2,2024-09-17,1020.0,930.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,3,2024-09-18,1094.0,1020.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,4,2024-09-19,1139.0,1094.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,5,2024-10-04,1153.0,1139.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,6,2024-12-02,1161.0,1153.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,7,2024-12-03,1287.0,1161.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,8,2024-12-16,1551.0,1287.0,2024-08-05,2024-12-17,3.17
73780,株式会社アシロ,9,2024-12-17,1951.0,1551.0,2024-08-05,2024-12-17,3.17
70970,株式会社さくらさくプラス,1,2024-01-11,1045.0,985.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,2,2024-03-14,1066.0,1045.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,3,2024-03-15,1360.0,1066.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,4,2024-12-16,1615.0,1360.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,5,2024-12-17,1920.0,1615.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,6,2024-12-18,2005.0,1920.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,7,2024-12-30,2049.0,2005.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,8,2025-01-06,2160.0,2049.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,9,2025-01-07,2195.0,2160.0,2024-01-09,2025-01-08,3.04
70970,株式会社さくらさくプラス,10,2025-01-08,2268.0,2195.0,2024-01-09,2025-01-08,3.04
