code,name,entry_date,entry_price,vol_ratio_20d,sma50,sma150,sma200,sma_order_ok,stop_loss_triggered_10d,stop_loss_date,stop_loss_pct,return_5d_pct,return_10d_pct,return_15d_pct
36920,株式会社ＦＦＲＩセキュリティ,2024-09-27,2899.0,3.76,2120.4,2039.8,1879.3,True,True,2024-09-30,-17.25,-26.46,-27.25,-28.6
95560,ＩＮＴＬＯＯＰ株式会社,2024-10-16,5520.0,0.48,3948.7,3359.3,3359.4,False,True,2024-10-23,-8.33,-8.33,0.18,5.25
55920,株式会社くすりの窓口,2025-02-14,1887.0,24.23,1442.5,1375.2,1401.2,False,False,,,-4.4,-1.48,-3.23
56210,株式会社ヒューマンテクノロジーズ,2025-03-27,1570.0,1.42,1445.4,1424.0,1354.8,True,True,2025-04-03,-7.77,-7.77,-11.72,-6.05
76940,株式会社いつも,2025-05-08,755.0,0.63,411.1,427.2,444.2,False,True,2025-05-12,-17.88,-13.91,-26.62,-25.96
58920,株式会社ｙｕｔｏｒｉ,2025-05-13,2998.0,12.14,2201.2,2268.6,2196.3,False,False,,,16.24,10.07,25.42
73180,セレンディップ・ホールディングス株式会社,2025-05-13,1797.0,28.24,1672.2,1585.9,1538.9,True,False,,,18.14,36.73,53.64
92400,株式会社デリバリーコンサルティング,2025-06-25,833.0,162.26,370.1,392.6,421.6,False,True,2025-06-26,-18.01,-42.02,-38.06,-39.74
55320,株式会社リアルゲイト,2025-08-15,3030.0,1.03,2235.2,2141.8,2145.3,False,False,,,-3.47,-2.57,-3.89
92710,株式会社和心,2025-08-18,762.0,44.86,467.9,466.3,474.2,False,False,,,3.54,-1.05,1.44
