code,name,seq,entry_date,entry_price,true_high_date,true_high_price,hold_days,worst_drawdown_pct,worst_drawdown_date,final_return_pct
14010,株式会社エムビーエス,1,2023-07-21,516.0,2026-01-20,1847.0,914,-4.84,2023-08-18,257.95
14010,株式会社エムビーエス,2,2023-11-16,570.0,2026-01-20,1847.0,796,-6.14,2023-12-08,224.04
14010,株式会社エムビーエス,16,2025-06-09,900.0,2026-01-20,1847.0,225,0.0,,105.22
14010,株式会社エムビーエス,17,2025-06-10,947.0,2026-01-20,1847.0,224,-1.27,2025-06-11,95.04
14010,株式会社エムビーエス,18,2025-06-11,960.0,2026-01-20,1847.0,223,-2.08,2025-06-13,92.4
14010,株式会社エムビーエス,19,2025-06-12,950.0,2026-01-20,1847.0,222,-1.05,2025-06-13,94.42
14010,株式会社エムビーエス,20,2025-06-16,1100.0,2026-01-20,1847.0,218,0.0,,67.91
14010,株式会社エムビーエス,23,2026-01-19,1675.0,2026-01-20,1847.0,1,-5.07,2026-01-20,10.27
145A0,株式会社Ｌ　ｉｓ　Ｂ,3,2025-07-09,1042.0,2025-09-02,1527.0,55,-5.95,2025-07-15,46.55
145A0,株式会社Ｌ　ｉｓ　Ｂ,4,2025-07-10,1032.0,2025-09-02,1527.0,54,-5.04,2025-07-15,47.97
145A0,株式会社Ｌ　ｉｓ　Ｂ,5,2025-07-29,1093.0,2025-09-02,1527.0,35,-4.85,2025-08-04,39.71
145A0,株式会社Ｌ　ｉｓ　Ｂ,6,2025-07-30,1081.0,2025-09-02,1527.0,34,-3.79,2025-08-04,41.26
145A0,株式会社Ｌ　ｉｓ　Ｂ,7,2025-08-06,1107.0,2025-09-02,1527.0,27,-2.17,2025-08-15,37.94
145A0,株式会社Ｌ　ｉｓ　Ｂ,8,2025-08-12,1088.0,2025-09-02,1527.0,21,-0.46,2025-08-15,40.35
145A0,株式会社Ｌ　ｉｓ　Ｂ,9,2025-08-13,1139.0,2025-09-02,1527.0,20,-4.92,2025-08-15,34.06
145A0,株式会社Ｌ　ｉｓ　Ｂ,11,2025-08-15,1220.0,2025-09-02,1527.0,18,-1.64,2025-08-18,25.16
145A0,株式会社Ｌ　ｉｓ　Ｂ,12,2025-08-18,1251.0,2025-09-02,1527.0,15,-2.96,2025-08-20,22.06
145A0,株式会社Ｌ　ｉｓ　Ｂ,13,2025-08-19,1240.0,2025-09-02,1527.0,14,-2.1,2025-08-20,23.15
145A0,株式会社Ｌ　ｉｓ　Ｂ,14,2025-08-21,1349.0,2025-09-02,1527.0,12,-1.93,2025-08-22,13.19
145A0,株式会社Ｌ　ｉｓ　Ｂ,15,2025-08-22,1353.0,2025-09-02,1527.0,11,-1.4,2025-08-26,12.86
145A0,株式会社Ｌ　ｉｓ　Ｂ,16,2025-08-25,1374.0,2025-09-02,1527.0,8,-2.91,2025-08-26,11.14
145A0,株式会社Ｌ　ｉｓ　Ｂ,17,2025-08-27,1416.0,2025-09-02,1527.0,6,-4.1,2025-08-28,7.84
145A0,株式会社Ｌ　ｉｓ　Ｂ,18,2025-09-01,1433.0,2025-09-02,1527.0,1,-0.91,2025-09-02,6.56
155A0,株式会社情報戦略テクノロジー,1,2025-07-23,561.0,2025-08-01,1019.0,9,-6.95,2025-07-24,81.64
155A0,株式会社情報戦略テクノロジー,2,2025-07-29,669.0,2025-08-01,1019.0,3,0.0,,52.32
155A0,株式会社情報戦略テクノロジー,3,2025-07-30,719.0,2025-08-01,1019.0,2,-2.92,2025-07-31,41.72
157A0,グリーンモンスター株式会社,1,2025-11-17,762.0,2026-01-21,1380.0,65,-4.86,2025-12-05,81.1
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,1,2025-09-29,1101.0,2025-11-12,1786.0,44,-5.72,2025-10-01,62.22
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,4,2025-10-14,1085.0,2025-11-12,1786.0,29,0.0,,64.61
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,5,2025-10-17,1242.0,2025-11-12,1786.0,26,-3.78,2025-10-20,43.8
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,6,2025-10-20,1329.0,2025-11-12,1786.0,23,-4.29,2025-10-21,34.39
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,7,2025-10-21,1354.0,2025-11-12,1786.0,22,-5.02,2025-10-30,31.91
280A0,株式会社ＴＭＨ,2,2026-05-22,1920.0,2026-05-26,2820.0,4,0.0,,46.88
280A0,株式会社ＴＭＨ,3,2026-05-25,2320.0,2026-05-26,2820.0,1,0.0,,21.55
33000,株式会社アンビションＤＸホールディングス,1,2023-02-15,629.0,2024-11-19,2190.0,643,-1.11,2023-02-17,248.17
33000,株式会社アンビションＤＸホールディングス,2,2023-02-20,678.0,2024-11-19,2190.0,638,-2.51,2023-02-24,223.01
33000,株式会社アンビションＤＸホールディングス,3,2023-02-21,685.0,2024-11-19,2190.0,637,-3.5,2023-02-24,219.71
33000,株式会社アンビションＤＸホールディングス,4,2023-03-03,702.0,2024-11-19,2190.0,627,-5.13,2023-03-20,211.97
33000,株式会社アンビションＤＸホールディングス,8,2023-05-12,744.0,2024-11-19,2190.0,557,-5.11,2023-11-15,194.35
33000,株式会社アンビションＤＸホールディングス,9,2023-05-15,730.0,2024-11-19,2190.0,554,-3.29,2023-11-15,200.0
33000,株式会社アンビションＤＸホールディングス,25,2024-08-13,1062.0,2024-11-19,2190.0,98,0.0,,106.21
33000,株式会社アンビションＤＸホールディングス,26,2024-08-14,1362.0,2024-11-19,2190.0,97,0.0,,60.79
33000,株式会社アンビションＤＸホールディングス,27,2024-08-15,1585.0,2024-11-19,2190.0,96,-4.67,2024-08-21,38.17
33000,株式会社アンビションＤＸホールディングス,28,2024-08-26,1695.0,2024-11-19,2190.0,85,-4.72,2024-09-11,29.2
33000,株式会社アンビションＤＸホールディングス,29,2024-08-27,1706.0,2024-11-19,2190.0,84,-5.33,2024-09-11,28.37
33000,株式会社アンビションＤＸホールディングス,36,2024-11-14,2040.0,2024-11-19,2190.0,5,-4.75,2024-11-15,7.35
33000,株式会社アンビションＤＸホールディングス,37,2024-11-15,1998.0,2024-11-19,2190.0,4,-1.0,2024-11-18,9.61
33000,株式会社アンビションＤＸホールディングス,38,2024-11-18,2125.0,2024-11-19,2190.0,1,-1.18,2024-11-19,3.06
35420,株式会社ベガコーポレーション,15,2025-06-04,1336.0,2025-06-27,1782.0,23,-3.89,2025-06-05,33.38
