code,name,low_date,low_price,high_date,high_price,multiple
25860,株式会社フルッタフルッタ,2024-08-05,29.0,2025-07-31,370.0,12.76
276A0,ククレブ・アドバイザーズ株式会社,2024-12-12,1014.0,2025-07-31,6080.0,6.0
39050,データセクション株式会社,2025-02-19,603.0,2025-07-31,3495.0,5.8
218A0,株式会社Ｌｉｂｅｒａｗａｒｅ,2024-08-05,342.0,2025-07-31,1707.0,4.99
60720,地盤ネットホールディングス株式会社,2025-04-07,133.0,2026-02-13,648.0,4.87
35420,株式会社ベガコーポレーション,2024-12-25,586.0,2025-07-31,2304.0,3.93
58920,株式会社ｙｕｔｏｒｉ,2024-08-05,1159.0,2025-07-31,4560.0,3.93
92270,マイクロ波化学株式会社,2025-04-07,350.0,2026-01-14,1320.0,3.77
36920,株式会社ＦＦＲＩセキュリティ,2024-08-05,1669.0,2025-07-31,6240.0,3.74
65800,株式会社ライトアップ,2024-08-05,760.0,2025-07-31,2787.0,3.67
35560,リネットジャパングループ株式会社,2024-08-06,171.0,2025-07-31,625.0,3.65
40130,勤次郎株式会社,2024-08-05,275.0,2025-07-31,1002.0,3.64
65970,ＨＰＣシステムズ株式会社,2025-04-07,950.0,2026-04-06,3390.0,3.57
78060,株式会社ＭＴＧ,2024-08-05,1398.0,2025-07-31,4965.0,3.55
50290,サークレイス株式会社,2024-08-05,400.0,2025-07-31,1417.0,3.54
45700,株式会社免疫生物研究所,2025-04-07,378.0,2025-11-19,1301.0,3.44
77770,株式会社スリー・ディー・マトリックス,2024-10-25,100.0,2025-09-16,343.0,3.43
73180,セレンディップ・ホールディングス株式会社,2024-08-05,1092.0,2025-07-31,3720.0,3.41
153A0,株式会社カウリス,2025-04-07,692.0,2025-08-15,2341.0,3.38
50310,モイ株式会社,2025-07-03,224.0,2026-05-22,747.0,3.33
155A0,株式会社情報戦略テクノロジー,2025-04-07,308.0,2025-08-01,1019.0,3.31
92410,株式会社フューチャーリンクネットワーク,2025-01-15,1120.0,2025-08-01,3670.0,3.28
70970,株式会社さくらさくプラス,2024-08-05,780.0,2025-07-31,2549.0,3.27
73780,株式会社アシロ,2024-08-05,616.0,2025-07-31,2013.0,3.27
76940,株式会社いつも,2025-04-07,318.0,2025-07-31,1035.0,3.25
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,2024-12-26,763.0,2025-09-02,2470.0,3.24
92710,株式会社和心,2025-04-07,349.0,2025-10-30,1119.0,3.21
44120,株式会社サイエンスアーツ,2024-08-05,411.0,2025-07-31,1310.0,3.19
61660,株式会社中村超硬,2025-12-11,247.0,2026-01-20,789.0,3.19
280A0,株式会社ＴＭＨ,2025-12-02,883.0,2026-05-26,2820.0,3.19
52430,ｎｏｔｅ株式会社,2024-08-05,416.0,2025-07-31,1321.0,3.18
95560,ＩＮＴＬＯＯＰ株式会社,2024-08-05,2312.0,2025-07-31,7280.0,3.15
194A0,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,2025-04-07,567.0,2025-11-12,1786.0,3.15
55920,株式会社くすりの窓口,2024-08-05,1040.0,2025-07-31,3270.0,3.14
92400,株式会社デリバリーコンサルティング,2025-04-07,299.0,2025-10-07,932.0,3.12
55320,株式会社リアルゲイト,2025-04-07,1035.0,2025-08-18,3220.0,3.11
41700,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,2026-06-16,97.0,2026-08-26,302.0,3.11
44180,株式会社ＪＤＳＣ,2025-04-07,628.0,2025-10-23,1946.0,3.1
73590,株式会社東京通信グループ,2025-04-07,187.0,2025-08-13,580.0,3.1
157A0,グリーンモンスター株式会社,2025-04-04,445.0,2026-01-21,1380.0,3.1
14010,株式会社エムビーエス,2025-04-09,599.0,2026-01-20,1847.0,3.08
