code,name,low_date,low_price,high_date,high_price,multiple,old_high_date,old_multiple,days_earlier
76850,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2022-02-24,2200.0,2023-01-24,6600.0,3.0,2026-03-12,3.01,1143
43950,株式会社アクリート,2022-01-27,941.0,2023-01-04,3320.0,3.53,2025-08-26,3.08,965
43930,株式会社バンク・オブ・イノベーション,2022-01-28,1485.0,2023-01-04,6540.0,4.4,2025-07-31,3.03,939
73590,株式会社東京通信グループ,2022-05-16,527.0,2023-01-20,1654.0,3.14,2025-08-13,3.1,936
92270,マイクロ波化学株式会社,2022-07-08,695.0,2023-06-29,2109.0,3.03,2026-01-14,3.77,930
29980,クリアル株式会社,2022-06-20,983.0,2023-04-28,3525.0,3.59,2025-08-22,3.01,847
45700,株式会社免疫生物研究所,2022-12-28,297.0,2023-08-14,929.0,3.13,2025-11-19,3.44,828
95530,株式会社マイクロアド,2022-10-03,762.0,2023-06-29,5930.0,7.78,2025-08-15,3.06,778
39050,データセクション株式会社,2023-01-17,238.0,2024-01-17,738.0,3.1,2025-07-31,5.8,561
92110,株式会社エフ・コード,2023-10-23,1041.0,2024-01-30,3165.0,3.04,2025-07-31,3.02,548
25860,株式会社フルッタフルッタ,2024-08-05,29.0,2024-08-15,95.0,3.28,2025-07-31,12.76,350
33000,株式会社アンビションＤＸホールディングス,2023-12-18,712.0,2024-11-19,2190.0,3.08,2025-08-04,3.01,258
73780,株式会社アシロ,2024-08-05,616.0,2024-12-17,1951.0,3.17,2025-07-31,3.27,226
70970,株式会社さくらさくプラス,2024-01-09,747.0,2025-01-08,2268.0,3.04,2025-07-31,3.27,204
52430,ｎｏｔｅ株式会社,2024-08-05,416.0,2025-01-27,1284.0,3.09,2025-07-31,3.18,185
92400,株式会社デリバリーコンサルティング,2025-04-07,299.0,2025-06-25,926.0,3.1,2025-10-07,3.12,104
50290,サークレイス株式会社,2024-08-05,400.0,2025-04-24,1379.0,3.45,2025-07-31,3.54,98
36920,株式会社ＦＦＲＩセキュリティ,2024-08-05,1669.0,2025-05-16,5010.0,3.0,2025-07-31,3.74,76
40130,勤次郎株式会社,2024-08-05,275.0,2025-05-19,855.0,3.11,2025-07-31,3.64,73
58920,株式会社ｙｕｔｏｒｉ,2024-08-05,1159.0,2025-05-20,3590.0,3.1,2025-07-31,3.93,72
153A0,株式会社カウリス,2025-04-07,692.0,2025-06-12,2088.0,3.02,2025-08-15,3.38,64
95540,株式会社ＡＶｉＣ,2024-08-05,731.0,2025-06-10,2284.0,3.12,2025-08-05,3.03,56
35560,リネットジャパングループ株式会社,2024-08-06,171.0,2025-06-06,543.0,3.18,2025-07-31,3.65,55
56210,株式会社ヒューマンテクノロジーズ,2024-08-05,723.0,2025-06-10,2197.0,3.04,2025-07-31,3.01,51
55920,株式会社くすりの窓口,2024-08-05,1040.0,2025-06-12,3170.0,3.05,2025-07-31,3.14,49
65800,株式会社ライトアップ,2024-08-05,760.0,2025-06-17,2347.0,3.09,2025-07-31,3.67,44
