code,name,latest_date,latest_close,high_52w,deviation_pct,sma50,sma150,sma200,ma_state,breakout_date,vol_ratio,vol_judge
296A0,令和アカウンティング,2026-09-01,1091.0,1206.0,-9.54,876.5,788.0,768.3,上向き揃い,2026-08-31,1.02,普通
421A0,ムービン,2026-09-01,4145.0,4450.0,-6.85,3771.1,2877.3,2912.0,一部崩れ,2026-08-31,1.08,普通
60450,レントラックス,2026-09-01,2340.0,2520.0,-7.14,1742.0,1680.2,1655.1,上向き揃い,2026-08-25,4.85,良好
319A0,技術承継機構,2026-09-01,20900.0,22700.0,-7.93,18282.0,14983.1,13753.0,上向き揃い,2026-08-17,2.27,良好
446A0,ノースサンド,2026-09-01,2186.0,2219.0,-1.49,1585.2,1386.2,,データ不足,2026-09-01,1.14,普通
558A0,SQUEEZE,2026-09-01,6350.0,6400.0,-0.78,4753.6,,,データ不足,2026-09-01,1.6,良好
581A0,GO,2026-09-01,4375.0,4580.0,-4.48,3032.4,,,データ不足,2026-08-31,2.12,良好
78060,MTG,2026-09-01,9080.0,9400.0,-3.4,7929.4,6669.1,6143.8,上向き揃い,2026-08-26,1.13,普通
60270,弁護士ドットコム,2026-09-01,5270.0,5780.0,-8.82,2912.5,2701.7,2785.6,一部崩れ,2026-09-01,1.05,普通
44310,スマレジ,2026-09-01,3640.0,3825.0,-4.84,3100.5,2623.0,2702.6,一部崩れ,2026-08-31,1.43,普通
44170,グローバルセキュリティエキスパート,2026-09-01,4750.0,5060.0,-6.13,4266.2,3254.4,3267.3,一部崩れ,2026-08-28,2.1,良好
40760,シイエヌエス,2026-09-01,2024.0,2025.0,-0.05,1836.1,1751.9,1734.4,上向き揃い,2026-08-27,1.33,普通
42580,網屋,2026-09-01,4550.0,5100.0,-10.78,4287.7,3456.9,3403.1,上向き揃い,2026-08-13,3.65,良好
65450,インターネットインフィニティー,2026-09-01,822.0,907.0,-9.37,806.3,754.8,726.7,上向き揃い,2026-08-13,1.6,良好
